ep_rewmean,current_lr,time_elapsed,n_updates,fps,mean 100 episode reward,episodes,total timesteps,eplenmean,ent_coef_loss,qf2_loss,qf1_loss,ent_coef,entropy,value_loss,policy_loss
-595.2156143999999,0.0003,263,10502,40,-595.2,101,10602,106.02,-0.1295977,20.597935,17.727032,0.08765654,1.7719877,34.02194,85.85752
-594.71656196,0.0003,264,10540,40,-594.7,102,10640,106.13,-0.8827439,1887.1846,1887.6381,0.08748384,1.7248464,19.268566,95.92272
-595.87194989,0.0003,272,10839,40,-595.9,103,10939,108.12,-0.26433066,3437.0466,3437.5415,0.0861978,1.6752664,12.851976,93.15285
-590.14875999,0.0003,280,11139,40,-590.1,104,11239,110.59,1.5786717,16.142103,16.25655,0.08946692,1.5804515,4.2549047,94.5365
-585.8908374600001,0.0003,288,11439,39,-585.9,105,11539,113.39,-0.106684506,1903.667,1903.4985,0.09012923,1.743762,1.193218,84.78255
-585.5935403999999,0.0003,289,11486,39,-585.6,106,11586,113.59,-0.89766085,23.70479,24.000889,0.08979426,1.5689974,0.9377197,87.602585
-585.2625940300001,0.0003,290,11518,39,-585.3,107,11618,113.54,0.2525131,35.2409,37.56698,0.08984471,1.5859487,6.8522377,87.83657
-585.14880537,0.0003,294,11654,39,-585.1,108,11754,114.51,0.22988006,1814.807,1829.5583,0.09106593,1.4238709,14.998277,92.20654
-584.7867622900001,0.0003,296,11742,39,-584.8,109,11842,114.91,0.3798797,29.032114,28.280958,0.09235736,1.5401111,8.201114,84.540665
-584.3410394900001,0.0003,301,11913,39,-584.3,110,12013,116.33,0.059155285,7.000328,8.036667,0.09020868,1.5906637,3.5861316,91.93106
-584.41426856,0.0003,304,12037,39,-584.4,111,12137,117.2,-2.9242911,1811.2319,1813.0853,0.0888824,1.9170616,7.7641582,87.41954
-580.50934961,0.0003,312,12337,39,-580.5,112,12437,119.92,1.4510758,48.610985,49.83964,0.08822108,1.4958814,5.5673294,93.82903
-580.41958931,0.0003,313,12369,39,-580.4,113,12469,119.81,-2.326944,13.468134,13.264498,0.08868361,1.911624,3.182208,90.00581
-580.14217224,0.0003,315,12458,39,-580.1,114,12558,120.25,-0.82698584,20.156519,16.373867,0.08639752,1.7906631,29.615005,100.832726
-580.44912132,0.0003,321,12688,39,-580.4,115,12788,122.33,0.40469372,17.940899,15.637884,0.084582254,1.7194383,6.9181943,92.35123
-580.22525586,0.0003,322,12760,39,-580.2,116,12860,122.66,-1.4406493,3023.5044,3028.6477,0.08380352,1.7989624,9.372208,99.05826
-574.29450658,0.0003,330,13060,39,-574.3,117,13160,125.35,0.222229,23.237574,23.943165,0.08010673,1.6392405,4.1927757,94.6113
-574.05830843,0.0003,332,13122,39,-574.1,118,13222,125.64,-0.26713055,28.005667,27.434294,0.079786636,1.877872,7.8391027,89.61279
-574.7825336000001,0.0003,335,13250,39,-574.8,119,13350,126.63,-0.43914354,3.8882158,3.277924,0.0786289,1.7022992,1.3912128,92.38359
-574.63890942,0.0003,338,13333,39,-574.6,120,13433,127.24,-2.01408,1745.4811,1751.2025,0.07882424,1.6759384,2.6222975,90.76184
-569.91071513,0.0003,345,13633,39,-569.9,121,13733,130.04,2.2517314,1779.1522,1765.7711,0.078138545,1.6061971,7.071003,96.360565
-563.8845427199999,0.0003,353,13933,39,-563.9,122,14033,132.45,-0.12562945,17.330124,13.546651,0.07884074,1.6402946,2.496132,88.685394
-563.5655032000001,0.0003,355,13988,39,-563.6,123,14088,132.81,0.38484594,22.333069,23.51954,0.07930638,1.8226101,4.0809107,91.91782
-562.94519957,0.0003,356,14028,39,-562.9,124,14128,132.94,0.09105653,16.178238,16.967197,0.07956014,1.7929809,1.4092888,89.791504
-563.0282816600001,0.0003,359,14148,39,-563.0,125,14248,133.84,-0.16090125,58.545845,59.57115,0.0794946,1.7137711,6.520832,93.26109
-563.25011727,0.0003,366,14418,39,-563.3,126,14518,136.18,1.3914492,21.067265,23.221886,0.08304431,1.6317998,11.100222,99.27681
-558.6951323200001,0.0003,374,14718,39,-558.7,127,14818,138.96,-0.2585618,2059.7363,2045.0728,0.084188625,1.496731,1.4126282,92.58211
-558.43061751,0.0003,376,14804,39,-558.4,128,14904,139.49,0.4769353,53.275387,53.659092,0.08476675,1.4297286,10.912252,97.309364
-558.69580758,0.0003,379,14918,39,-558.7,129,15018,140.33,1.1435521,1720.411,1723.3252,0.08554026,1.6233149,12.96739,102.21239
-553.60645302,0.0003,387,15218,39,-553.6,130,15318,143.02,3.8404205,16.47709,19.877449,0.09033573,1.7321899,10.273443,95.84276
-553.1045249499999,0.0003,388,15271,39,-553.1,131,15371,143.32,-0.28357965,10.296354,11.9004,0.09214338,1.3806081,2.6515472,97.22616
-547.18312196,0.0003,396,15571,39,-547.2,132,15671,145.94,-0.097364366,1730.6809,1730.5786,0.096481346,1.2396247,2.2568998,90.39827
-541.55503873,0.0003,403,15871,39,-541.6,133,15971,148.41,1.0545263,10.698055,11.337706,0.09878172,1.7346349,7.6730223,98.044266
-540.9891523,0.0003,404,15906,39,-541.0,134,16006,148.49,1.0077844,2105.5132,2116.8132,0.09964892,1.701256,11.314342,102.54816
-535.7656253499999,0.0003,412,16206,39,-535.8,135,16306,151.04,-0.70562255,1930.2107,1940.23,0.10192983,1.9277987,1.6131177,95.18886
-536.3896952499999,0.0003,417,16393,39,-536.4,136,16493,152.18,1.3069981,8.63611,10.098673,0.10156508,1.851565,3.6581626,93.51579
-535.4975906000001,0.0003,419,16492,39,-535.5,137,16592,152.87,-1.0000038,11.2079525,13.520499,0.101070054,1.4074161,6.2374415,88.770905
-531.35728076,0.0003,427,16792,39,-531.4,138,16892,155.27,-0.32252008,16.583202,18.482018,0.103515394,1.536905,8.371944,94.96476
-525.97421301,0.0003,435,17092,39,-526.0,139,17192,158.02,0.48807743,76.71005,75.48453,0.10098763,1.3813088,2.0444863,96.40225
-521.13693344,0.0003,442,17392,39,-521.1,140,17492,160.74,-1.5338262,22.118244,22.140446,0.097217865,1.1691234,46.62225,101.573944
-515.7267621799999,0.0003,450,17692,39,-515.7,141,17792,163.4,-0.14686102,8.20471,7.649414,0.08981049,1.5637015,12.207678,95.008865
-509.74074894,0.0003,458,17992,39,-509.7,142,18092,166.02,-3.6523623,5.6863127,6.671889,0.08570774,1.7008579,15.349035,92.44597
-508.16490403999995,0.0003,459,18051,39,-508.2,143,18151,165.04,0.2533369,12.000456,13.139479,0.083985545,1.2117099,12.859852,100.58113
-506.56678330999995,0.0003,463,18172,39,-506.6,144,18272,163.59,0.07008651,2582.6948,2571.3176,0.08108554,1.1923422,13.448187,103.105385
-503.08038969,0.0003,466,18310,39,-503.1,145,18410,163.43,-0.98582226,26.78527,26.870031,0.078799605,1.190584,19.731289,97.335236
-508.4825132299999,0.0003,471,18533,39,-508.5,146,18633,162.66,-1.8126839,6.2856455,8.077601,0.07524419,1.3165174,4.016343,99.43763
-512.17517588,0.0003,472,18573,39,-512.2,147,18673,160.06,0.09347522,57.628044,52.92125,0.07457728,1.6102998,1.8471155,96.45616
-511.69249135999996,0.0003,473,18595,39,-511.7,148,18695,159.97,-1.8371493,32.784225,17.243698,0.074134886,1.2340212,4.219754,96.78867
-512.77159419,0.0003,476,18693,39,-512.8,149,18793,160.57,-1.3902922,4.0120516,4.916861,0.07342508,1.8169081,1.988545,94.740814
-510.37144271,0.0003,476,18732,39,-510.4,150,18832,159.67,-1.2582544,43.038277,41.85309,0.072901875,1.3175588,1.2369087,95.17776
-515.6566808399999,0.0003,478,18793,39,-515.7,151,18893,157.28,-1.9292006,22.671955,24.16023,0.072073795,1.488512,5.842677,93.96273
-521.21257135,0.0003,481,18903,39,-521.2,152,19003,155.38,-1.1049458,13.919592,12.928554,0.07016692,1.435314,7.890559,98.54391
-516.4688907,0.0003,487,19203,39,-516.5,153,19303,157.72,-1.1496233,22.293911,22.888058,0.06999902,1.5705299,9.109873,100.2236
-517.15888043,0.0003,489,19287,39,-517.2,154,19387,155.56,-1.2442005,1557.7109,1556.671,0.06879219,1.4411669,16.956173,102.353546
-515.54964638,0.0003,490,19318,39,-515.5,155,19418,153.39,0.69605905,16.465956,14.987196,0.06862904,1.4339163,2.5746355,96.08254
-515.6691196699999,0.0003,492,19409,39,-515.7,156,19509,153.71,-1.0400642,1531.5701,1536.053,0.068374716,1.3948865,10.473551,101.67331
-515.5846432399999,0.0003,494,19483,39,-515.6,157,19583,153.08,-1.0645323,5.718419,6.3755236,0.068398766,1.1735263,3.2912757,101.09455
-514.9382902799999,0.0003,501,19783,39,-514.9,158,19883,153.08,1.0630394,1512.8585,1504.7089,0.06966264,1.3916726,8.713463,98.80804
-514.9267593299999,0.0003,502,19808,39,-514.9,159,19908,153.04,-1.5166291,22.363125,15.796891,0.069662936,1.5209315,1.1461179,94.42039
-514.9709988899999,0.0003,503,19862,39,-515.0,160,19962,153.09,0.39667708,1548.051,1549.3073,0.06969477,1.407037,19.551708,94.03423
-509.63669416,0.0003,511,20162,39,-509.6,161,20262,154.71,3.498526,17.833374,21.138844,0.07327709,1.4657782,8.714624,92.42346
