EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,137.125,-6.518758505,10,-479.9379636,567,0,1820.556921,82944,0,1.4561517,-0.000238657,0.000820795,0.013768592,0.013768592,,,,,,,,,,,,
0,137.425,-6.655341623,7,-480.0983005,574,0,1842.599159,83968,0,1.4682288,-6.16E-05,0.000776237,0.013389932,0.013389932,,,,,,,,,,,,
0,144.375,-6.607856616,5,-451.7978233,579,0,1864.683074,84992,0,1.4329526,0.000580668,0.000852341,0.014834463,0.014834463,,,,,,,,,,,,
0,144.7,-6.65343376,8,-436.1897098,587,0,1886.520365,86016,0,1.453783,0.000107408,0.000833256,0.012351168,0.012351168,,,,,,,,,,,,
0,146.1,-6.921515919,5,-435.4161407,592,0,1909.142203,87040,0,1.4544806,0.000186801,0.000838948,0.013662787,0.013662787,,,,,,,,,,,,
0,153.6,-6.901224976,5,-437.6974294,597,0,1931.612267,88064,0,1.406782,4.94E-05,0.000749867,0.010480528,0.010480528,,,,,,,,,,,,
0,170.6,-6.116076311,5,-414.6913732,602,0,1954.437901,89088,0,1.4710575,-1.78E-05,0.0008439,0.012045436,0.012045436,,,,,,,,,,,,
0,179.2,-5.345116704,5,-403.7094128,607,0,1976.985736,90112,0,1.461015,-6.57E-05,0.000803334,0.012763886,0.012763886,,,,,,,,,,,,
0,171.875,-5.333604144,8,-415.984464,615,0,1999.451847,91136,0,1.4002533,6.87E-05,0.000854904,0.012925385,0.012925385,,,,,,,,,,,,
0,179.2,-5.083067751,4,-419.3673394,619,0,2022.177573,92160,0,1.4440072,-0.000167847,0.000771812,0.012744654,0.012744654,,,,,,,,,,,,
0,189.175,-4.538658085,5,-393.7975903,624,0,2044.668485,93184,0,1.4294991,4.81E-05,0.000806164,0.011357704,0.011357704,,,,,,,,,,,,
0,189.475,-4.128970552,6,-379.205403,630,0,2067.273667,94208,0,1.4824576,2.80E-06,0.000796173,0.011576584,0.011576584,,,,,,,,,,,,
0,184.775,-4.565043818,6,-378.4832327,636,0,2089.696468,95232,0,1.4566578,-0.001152754,0.000841031,0.016925415,0.016925415,,,,,,,,,,,,
0,179.2,-4.894644355,6,-390.7334952,642,0,2112.595045,96256,0,1.4317358,3.93E-06,0.000891971,0.011259792,0.011259792,,,,,,,,,,,,
0,174.675,-4.89063708,6,-388.0071359,648,0,2134.286479,97280,0,1.4421866,-0.00010252,0.000810844,0.011773345,0.011773345,,,,,,,,,,,,
0,180.825,-4.58003755,6,-405.1104683,654,0,2157.138401,98304,0,1.4186715,-0.000126719,0.000854678,0.013723891,0.013723891,,,,,,,,,,,,
0,163.35,-5.553400946,8,-457.9584421,662,0,2179.81224,99328,0,1.3976033,-0.003128409,0.000897046,0.01305507,0.01305507,,,,,,,,,,,,
