mean 100 episode reward,episodes,% time spent exploring,steps,mean 100 episode reward per step
33.1,304,23,39100,0.20506618649060449
33.3,305,23,39200,0.20626082689643102
33.3,305,22,39300,0.20626082689643102
33.9,306,22,39400,0.20767867242347268
33.6,307,22,39500,0.2075934351581366
33.6,307,22,39600,0.2075934351581366
33.8,308,22,39700,0.20844561744917722
33.8,308,21,39800,0.20844561744917722
33.8,310,21,39900,0.20931608207531244
33.8,310,21,40000,0.20931608207531244
34.3,311,21,40100,0.21095861922124787
34.3,311,21,40200,0.21095861922124787
34.4,312,21,40300,0.21190464986310867
34.4,312,20,40400,0.21190464986310867
35.0,313,20,40500,0.213156132931801
34.8,314,20,40600,0.2135408557855693
34.6,315,20,40700,0.21343065926272703
34.6,315,20,40800,0.21343065926272703
34.6,317,19,40900,0.21472897789953874
34.6,317,19,41000,0.21472897789953874
34.6,318,19,41100,0.21517776047844925
34.6,319,19,41200,0.2158168129767694
34.4,320,19,41300,0.21577912841035982
34.4,320,18,41400,0.21577912841035982
34.6,321,18,41500,0.21692674690647962
34.6,321,18,41600,0.21692674690647962
35.0,322,18,41700,0.2180477873300995
35.0,322,18,41800,0.2180477873300995
35.6,323,17,41900,0.22056677311720763
35.8,324,17,42000,0.22181067300874488
35.8,324,17,42100,0.22181067300874488
36.1,325,17,42200,0.22319343490064025
36.1,325,17,42300,0.22319343490064025
36.3,327,16,42400,0.22550471203079497
36.3,327,16,42500,0.22550471203079497
36.4,328,16,42600,0.22629654545765784
36.4,328,16,42700,0.22629654545765784
36.9,329,16,42800,0.2269936020735741
36.5,330,15,42900,0.22588958127718925
36.5,330,15,43000,0.22588958127718925
36.6,331,15,43100,0.22671779734059105
36.6,331,15,43200,0.22671779734059105
37.0,332,15,43300,0.22822918192250582
37.0,332,14,43400,0.22822918192250582
37.6,333,14,43500,0.23041434995269025
37.6,333,14,43600,0.23041434995269025
37.7,334,14,43700,0.23082748322761748
37.7,334,14,43800,0.23082748322761748
38.2,335,13,43900,0.23236044081836085
38.2,335,13,44000,0.23236044081836085
38.6,337,13,44100,0.2333102690040279
38.3,338,13,44200,0.23349949957599925
38.3,338,13,44300,0.23349949957599925
38.4,339,12,44400,0.2341665001097326
38.3,340,12,44500,0.2348027367079985
38.3,340,12,44600,0.2348027367079985
38.5,341,12,44700,0.23582155404323232
38.6,342,12,44800,0.2369808068840076
38.6,342,11,44900,0.2369808068840076
38.4,344,11,45000,0.23676264519376222
38.4,344,11,45100,0.23676264519376222
39.0,345,11,45200,0.2385745733161577
39.0,345,11,45300,0.2385745733161577
39.2,346,11,45400,0.23978126724770843
39.6,347,10,45500,0.24246914603087968
39.6,347,10,45600,0.24246914603087968
39.8,348,10,45700,0.24338039507629458
39.8,348,10,45800,0.24338039507629458
40.4,349,10,45900,0.2460436763506056
40.4,349,9,46000,0.2460436763506056
40.8,350,9,46100,0.24728983361234205
40.8,350,9,46200,0.24728983361234205
41.4,351,9,46300,0.2500145717809388
41.5,352,9,46400,0.25036603399028357
41.5,352,8,46500,0.25036603399028357
41.9,353,8,46600,0.2510640827400117
41.9,353,8,46700,0.2510640827400117
42.5,354,8,46800,0.25278179611172247
42.5,354,8,46900,0.25278179611172247
42.6,355,7,47000,0.2535948016974475
42.6,355,7,47100,0.2535948016974475
43.1,356,7,47200,0.25537029419515644
43.1,356,7,47300,0.25537029419515644
43.4,357,7,47400,0.2562644555037388
43.4,357,6,47500,0.2562644555037388
43.8,358,6,47600,0.2571018023699711
44.1,359,6,47700,0.25841401299684796
44.1,359,6,47800,0.25841401299684796
44.5,360,6,47900,0.2595961246699048
44.5,360,5,48000,0.2595961246699048
44.6,361,5,48100,0.26044563824368366
44.6,361,5,48200,0.26044563824368366
44.2,363,5,48300,0.2610397974221599
44.2,363,5,48400,0.2610397974221599
44.6,364,4,48500,0.2621820896057456
44.6,364,4,48600,0.2621820896057456
44.8,365,4,48700,0.2627516594836357
44.9,366,4,48800,0.26424150471056035
44.9,366,4,48900,0.26424150471056035
45.3,367,3,49000,0.2651195161668168
45.3,367,3,49100,0.2651195161668168
45.4,368,3,49200,0.2657870884815029
45.4,368,3,49300,0.2657870884815029
45.6,369,3,49400,0.26663698844238504
45.6,370,2,49500,0.267075403120383
45.6,370,2,49600,0.267075403120383
45.4,372,2,49700,0.2673913200616628
45.0,373,2,49800,0.26708088265526303
45.0,374,2,49900,0.26727572495462737
45.1,375,2,50000,0.26807788522751375
44.7,376,2,50100,0.26738228158107735
44.7,376,2,50200,0.26738228158107735
45.0,377,2,50300,0.26855988179682666
45.0,377,2,50400,0.26855988179682666
45.1,378,2,50500,0.2691148905324269
45.1,379,2,50600,0.26956568320613844
45.1,379,2,50700,0.26956568320613844
45.5,380,2,50800,0.2703271656392958
45.5,380,2,50900,0.2703271656392958
45.7,381,2,51000,0.27099905601678
45.7,381,2,51100,0.27099905601678
45.6,382,2,51200,0.27139116562887183
45.5,383,2,51300,0.2717028576234698
45.5,384,2,51400,0.2721756633710447
45.5,384,2,51500,0.2721756633710447
45.6,385,2,51600,0.2725177405194118
45.6,385,2,51700,0.2725177405194118
45.9,386,2,51800,0.27406384282338814
45.9,386,2,51900,0.27406384282338814
46.1,387,2,52000,0.2748696837581768
46.2,388,2,52100,0.27553965343510084
46.2,388,2,52200,0.27553965343510084
46.1,389,2,52300,0.2755421134983275
46.1,389,2,52400,0.2755421134983275
46.3,390,2,52500,0.27617684343312177
46.3,390,2,52600,0.27617684343312177
46.3,391,2,52700,0.27701306904090195
46.0,392,2,52800,0.27704339256836513
46.0,392,2,52900,0.27704339256836513
45.7,394,2,53000,0.2769284495436941
45.7,394,2,53100,0.2769284495436941
45.8,395,2,53200,0.2772893830384116
45.8,395,2,53300,0.2772893830384116
45.9,396,2,53400,0.27764362069390586
45.6,397,2,53500,0.2774197864925593
45.6,397,2,53600,0.2774197864925593
45.4,399,2,53700,0.277227044109967
45.4,399,2,53800,0.277227044109967
44.9,401,2,53900,0.2758542032358048
45.0,402,2,54000,0.27633795458020183
45.0,402,2,54100,0.27633795458020183
45.1,403,2,54200,0.27647877844848023
45.1,403,2,54300,0.27647877844848023
45.5,404,2,54400,0.2770850073535787
45.5,404,2,54500,0.2770850073535787
45.6,405,2,54600,0.27772951287049763
45.6,405,2,54700,0.27772951287049763
45.7,406,2,54800,0.27804733115861446
45.7,406,2,54900,0.27804733115861446
46.3,407,2,55000,0.27990788785007814
46.3,407,2,55100,0.27990788785007814
46.4,408,2,55200,0.2804818439585935
46.4,408,2,55300,0.2804818439585935
46.5,409,2,55400,0.2807813667856222
46.5,410,2,55500,0.28153256586697073
46.5,410,2,55600,0.28153256586697073
46.7,411,2,55700,0.2823214627386849
46.7,411,2,55800,0.2823214627386849
46.8,412,2,55900,0.2828645485182044
46.8,412,2,56000,0.2828645485182044
46.8,413,2,56100,0.28290397845395504
46.8,413,2,56200,0.28290397845395504
47.2,415,2,56300,0.2844299009438454
46.7,416,2,56400,0.2836345660437624
47.0,417,2,56500,0.2845563697944912
47.0,417,2,56600,0.2845563697944912
47.2,418,2,56700,0.2852862833257768
47.2,418,2,56800,0.2852862833257768
47.5,419,2,56900,0.28597426569094786
47.5,419,2,57000,0.28597426569094786
47.5,421,2,57100,0.2866073571961528
47.5,421,2,57200,0.2866073571961528
46.9,423,2,57300,0.2859284186703399
46.9,423,2,57400,0.2859284186703399
47.2,424,2,57500,0.2865664811254083
47.2,424,2,57600,0.2865664811254083
47.0,425,2,57700,0.2864526413002543
47.0,425,2,57800,0.2864526413002543
47.1,426,2,57900,0.2868511003254227
47.1,426,2,58000,0.2868511003254227
47.7,427,2,58100,0.2885600249669347
47.8,428,2,58200,0.28882461740176785
47.8,428,2,58300,0.28882461740176785
47.5,429,2,58400,0.2885359041871305
47.5,429,2,58500,0.2885359041871305
48.1,430,2,58600,0.29069094534848
48.1,430,2,58700,0.29069094534848
48.1,431,2,58800,0.29099315669617926
47.8,432,2,58900,0.29077485465274827
47.5,433,2,59000,0.2902955896863877
47.5,433,2,59100,0.2902955896863877
47.6,434,2,59200,0.2908537703302888
47.6,434,2,59300,0.2908537703302888
47.1,436,2,59400,0.28978665627288164
47.1,436,2,59500,0.28978665627288164
47.6,437,2,59600,0.2911139046099452
47.6,437,2,59700,0.2911139046099452
48.2,438,2,59800,0.292217820459005
48.2,438,2,59900,0.292217820459005
48.3,439,2,60000,0.29253039485761373
48.3,439,2,60100,0.29253039485761373
48.5,440,2,60200,0.29283487647252016
48.5,440,2,60300,0.29283487647252016
48.6,441,2,60400,0.2930809348175436
48.6,441,2,60500,0.2930809348175436
49.0,442,2,60600,0.2939744745112866
48.9,443,2,60700,0.2940014987563638
49.1,444,2,60800,0.2950535565660744
48.7,445,2,60900,0.29447401983604643
48.7,445,2,61000,0.29447401983604643
48.7,446,2,61100,0.2945170265528755
48.6,447,2,61200,0.2944727651456885
48.6,447,2,61300,0.2944727651456885
48.1,449,2,61400,0.2935848335635532
48.1,449,2,61500,0.2935848335635532
48.1,450,2,61600,0.2935937440303296
48.1,450,2,61700,0.2935937440303296
48.1,451,2,61800,0.29362376538443047
48.1,451,2,61900,0.29362376538443047
48.5,452,2,62000,0.2941919840334996
48.5,452,2,62100,0.2941919840334996
48.5,453,2,62200,0.2944189195978631
48.2,454,2,62300,0.2941225446921664
48.2,454,2,62400,0.2941225446921664
48.3,455,2,62500,0.2941810887289737
48.3,455,2,62600,0.2941810887289737
48.4,456,2,62700,0.2948369435820975
47.9,457,2,62800,0.29359697678340596
47.4,458,2,62900,0.29208052333650414
46.8,460,2,63000,0.2910856706980993
46.8,460,2,63100,0.2910856706980993
46.8,461,2,63200,0.2911380373777044
46.8,461,2,63300,0.2911380373777044
47.1,462,2,63400,0.2916585650767725
47.1,462,2,63500,0.2916585650767725
47.5,463,2,63600,0.29218735605241014
47.5,463,2,63700,0.29218735605241014
47.5,464,2,63800,0.29218387244546873
47.5,464,2,63900,0.29218387244546873
47.5,465,2,64000,0.29228286744094323
47.5,465,2,64100,0.29228286744094323
47.9,466,2,64200,0.2932251754431358
47.9,466,2,64300,0.2932251754431358
48.0,467,2,64400,0.29334328403351545
48.0,467,2,64500,0.29334328403351545
