mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-14.446840092187097,105,5400,65.06024096385542,-688.3,-688.2524816385543,0.0003,51,84,5300,0.20249182,-5.2770214,63.788452,2.4877725,8.163594,0.036698334,8.149291
-14.58720416427606,107,5500,64.44705882352942,-688.0,-688.0066304352941,0.0003,51,86,5400,0.19647932,-5.5019994,65.88754,2.6267126,2244.8809,0.26930428,2244.5127
-14.538385511220588,109,5600,64.46511627906976,-688.0,-687.9793533372093,0.0003,51,87,5500,0.19068019,-5.259368,68.148605,2.4931705,2233.4314,0.3019356,2232.7847
-14.478174341087552,111,5700,64.49425287356321,-687.2,-687.2336241954023,0.0003,51,88,5600,0.18505098,-5.4442596,68.79904,2.5787625,6.864207,0.41804993,6.9863176
-14.478174341087552,113,5800,64.49425287356321,-687.2,-687.2336241954023,0.0003,51,88,5700,0.17956342,-5.4375906,69.509155,2.4526587,4415.8276,0.090532735,4415.4775
-14.341217603177386,115,5900,67.02272727272727,-687.3,-687.3361587272727,0.0003,51,89,5800,0.17424423,-5.4926734,71.7436,2.5702214,2198.004,1.4099791,2197.5066
-14.2634226604649,117,6000,67.28089887640449,-687.1,-687.1140905730338,0.0003,51,90,5900,0.16907224,-5.829035,72.02072,2.5109806,4407.6416,0.031196894,4406.8965
-14.2634226604649,119,6100,67.28089887640449,-687.1,-687.1140905730338,0.0003,51,90,6000,0.16403185,-6.067887,74.379135,2.5274334,6.8103304,0.060028538,6.7646227
-14.2634226604649,121,6200,67.28089887640449,-687.1,-687.1140905730338,0.0003,51,90,6100,0.15915775,-5.9290915,74.295815,2.58005,7.3903313,0.002877035,7.4786224
-14.12778709115765,122,6300,69.14285714285714,-687.5,-687.5452438791209,0.0003,51,92,6200,0.15441921,-5.9999228,77.59616,2.4364586,1923.3672,0.24031463,1908.2697
-14.14864037488723,124,6400,68.52688172043011,-685.9,-685.8617909462365,0.0003,51,94,6300,0.1498315,-6.276967,78.40048,2.4659522,7.2526646,0.05202955,7.244674
