total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
10100,255,84.47,10000,39,-635.6659144399999,0.0003,-14.973992988576104,-635.7,138,124.26634,1.811162,2920.6558,2913.271,-2.8668075,5.3883834,0.08324772
10200,258,85.18,10100,39,-635.5559626200001,0.0003,-14.897593321607504,-635.6,139,128.07893,1.8182132,1111.0399,1109.5111,-0.8223904,13.921291,0.080968544
10300,260,85.52,10200,39,-636.06397403,0.0003,-14.834760280544039,-636.1,140,132.2329,1.7214046,1131.5779,1129.2866,-0.21775565,16.031391,0.07962583
10400,263,86.68,10300,39,-640.3529460200001,0.0003,-14.730592762441045,-640.4,141,125.323814,1.7675254,12.676676,13.703157,-3.4225893,11.799644,0.077993646
10500,265,86.68,10400,39,-640.3529460200001,0.0003,-14.730592762441045,-640.4,141,127.81521,1.9472935,14.425898,14.771731,-3.272995,11.067406,0.07585814
10600,268,87.7,10500,39,-640.66704742,0.0003,-14.40689574898176,-640.7,142,127.23978,1.4063745,1086.8784,1085.2928,-3.115251,2.877236,0.074299335
10700,270,87.7,10600,39,-640.66704742,0.0003,-14.40689574898176,-640.7,142,127.0256,1.8471406,10.65186,11.286288,-3.4459739,2.6088357,0.072753765
10800,273,87.7,10700,39,-640.66704742,0.0003,-14.40689574898176,-640.7,142,130.2768,1.5399435,1160.7555,1172.1775,-1.2583225,8.107614,0.07124736
10900,275,90.25,10800,39,-644.62389239,0.0003,-14.29551982886006,-644.6,143,130.88725,1.3457506,19.670177,18.046663,0.7203076,7.1154304,0.069527194
11000,278,90.96,10900,39,-646.12007026,0.0003,-14.236776712844913,-646.1,145,134.33066,1.3763858,1785.4255,1786.8033,-1.4262439,8.617315,0.06882321
11100,280,91.6,11000,39,-645.88718934,0.0003,-13.970832242441903,-645.9,146,133.05193,1.9150739,1037.0367,1035.1659,-2.2346935,12.465741,0.067063235
11200,283,91.6,11100,39,-645.88718934,0.0003,-13.970832242441903,-645.9,146,130.28639,1.6256878,18.509235,16.132471,-1.6978374,3.2659116,0.066027716
11300,285,91.6,11200,39,-645.88718934,0.0003,-13.970832242441903,-645.9,146,130.74493,1.9654357,7.6617994,13.271939,-2.6578865,1.285549,0.064634606
11400,288,94.4,11300,39,-641.1640376800001,0.0003,-13.644879569787514,-641.2,147,130.58777,1.3932866,16.511633,18.967262,0.91067344,2.543775,0.06375638
11500,290,94.45,11400,39,-641.77636371,0.0003,-13.63054562555755,-641.8,148,133.89981,1.8218932,1659.9695,1682.6702,-2.559826,8.076773,0.06365583
11600,293,94.83,11500,39,-654.2900674,0.0003,-13.693260153099295,-654.3,149,133.42737,1.6039059,31.365402,38.02645,-1.2427435,3.0264854,0.06306527
11700,295,94.79,11600,39,-655.24888675,0.0003,-13.740060330250865,-655.2,151,137.81328,1.4782479,998.0967,994.1073,-0.9488047,7.5952344,0.063209
11800,298,94.79,11700,39,-655.24888675,0.0003,-13.740060330250865,-655.2,151,134.30261,1.9797473,39.868164,27.604666,-0.9884746,17.107935,0.06205459
11900,300,94.79,11800,39,-655.24888675,0.0003,-13.740060330250865,-655.2,151,135.2182,1.7623686,7.2996683,7.08935,-2.2213378,6.9588847,0.061561033
12000,303,97.52,11900,39,-651.2807972400001,0.0003,-13.513582152900435,-651.3,152,139.71263,2.0366888,18.600517,18.642723,-2.7786722,15.616083,0.060697824
