episodes,mean 100 episode reward per step,% time spent exploring,steps,mean 100 episode reward
597,-5.916893958139134,2,54800,-453.4
598,-5.8145183502078055,2,54900,-453.6
598,-5.8145183502078055,2,55000,-453.6
598,-5.8145183502078055,2,55100,-453.6
599,-5.83579428648652,2,55200,-458.9
600,-5.876129247027575,2,55300,-464.6
600,-5.876129247027575,2,55400,-464.6
600,-5.876129247027575,2,55500,-464.6
601,-5.836921553459929,2,55600,-458.6
601,-5.836921553459929,2,55700,-458.6
601,-5.836921553459929,2,55800,-458.6
602,-5.8372131069536115,2,55900,-458.7
603,-5.949389636985987,2,56000,-464.1
603,-5.949389636985987,2,56100,-464.1
603,-5.949389636985987,2,56200,-464.1
604,-5.88306184838621,2,56300,-458.3
605,-5.716203879246457,2,56400,-458.3
605,-5.716203879246457,2,56500,-458.3
606,-5.740870772360555,2,56600,-464.5
606,-5.740870772360555,2,56700,-464.5
607,-5.7837287591327184,2,56800,-470.0
607,-5.7837287591327184,2,56900,-470.0
607,-5.7837287591327184,2,57000,-470.0
608,-5.757800024417355,2,57100,-463.9
608,-5.757800024417355,2,57200,-463.9
608,-5.757800024417355,2,57300,-463.9
609,-5.711137920801703,2,57400,-458.0
609,-5.711137920801703,2,57500,-458.0
609,-5.711137920801703,2,57600,-458.0
610,-5.686054932282335,2,57700,-452.5
610,-5.686054932282335,2,57800,-452.5
611,-5.713597194705122,2,57900,-457.9
612,-5.739213847452436,2,58000,-457.6
613,-5.751929800355012,2,58100,-457.4
613,-5.751929800355012,2,58200,-457.4
615,-5.872629428103054,2,58300,-457.2
615,-5.872629428103054,2,58400,-457.2
615,-5.872629428103054,2,58500,-457.2
616,-5.847659173784423,2,58600,-451.0
616,-5.847659173784423,2,58700,-451.0
617,-5.882825666429153,2,58800,-456.6
617,-5.882825666429153,2,58900,-456.6
617,-5.882825666429153,2,59000,-456.6
618,-5.857788521755435,2,59100,-450.5
618,-5.857788521755435,2,59200,-450.5
619,-5.80389730694923,2,59300,-450.7
619,-5.80389730694923,2,59400,-450.7
619,-5.80389730694923,2,59500,-450.7
620,-5.68834742686146,2,59600,-445.0
620,-5.68834742686146,2,59700,-445.0
621,-5.55628373304451,2,59800,-445.1
621,-5.55628373304451,2,59900,-445.1
622,-5.54482722472978,2,60000,-445.2
622,-5.54482722472978,2,60100,-445.2
