entloss,EpLenMean,TimeElapsed,EpisodesSoFar,entropy,EpRew/step,TimestepsSoFar,meankl,surrgain,explained_variance_tdlam_before,EpThisIter,EpRewMean,optimgain
0.0,196.425,31072.055081129074,1337,0.6134596,-0.19465004172455802,199680,0.010785842,0.035492957,-0.022108078002929688,6,-29.355605250000004,0.035492957
0.0,190.9,31226.627744674683,1344,0.5430901,-0.19647719220454243,200704,0.01107809,0.03420512,0.1516844630241394,7,-29.039241325,0.03420512
0.0,193.45,31384.116733789444,1349,0.5391648,-0.1996055051741147,201728,0.009736485,0.03827094,0.48539799451828003,5,-29.707147150000004,0.03827094
0.0,167.4,31584.832643270493,1360,0.61398166,-0.21528554761346083,202752,0.010356192,0.031232802,0.18097800016403198,11,-26.958348175000005,0.031232802
0.0,158.575,31741.04670238495,1365,0.6896214,-0.22016372523832164,203776,0.010068342,0.034321733,0.20946186780929565,5,-25.445572399999996,0.034321733
0.0,128.175,31898.585381269455,1376,0.5989753,-0.24349511279666264,204800,0.009823168,0.030421045,0.14906495809555054,11,-22.481952975,0.030421045
0.0,121.125,32054.3953769207,1385,0.62260723,-0.240098884119416,205824,0.010330221,0.034635093,0.1678118109703064,9,-21.830180675,0.034635093
0.0,118.475,32210.378995895386,1390,0.6344715,-0.24807765560079922,206848,0.010133227,0.032378126,0.24113202095031738,5,-22.394092975,0.032378126
0.0,135.95,32364.157946825027,1395,0.6761169,-0.23088417868841687,207872,0.010163037,0.026896233,0.07104438543319702,5,-24.19452475,0.026896233
0.0,144.575,32521.646013498306,1402,0.68736106,-0.22750162040072555,208896,0.011213362,0.03680016,-0.03775930404663086,7,-25.128558899999998,0.03680016
0.0,147.375,32682.213325977325,1408,0.594221,-0.223249817493617,209920,0.00981493,0.03360248,-0.06157791614532471,6,-25.727673775,0.03360248
0.0,156.525,32836.05234479904,1415,0.6221902,-0.21261038940209218,210944,0.010017454,0.025334008,0.1767311692237854,7,-25.674088375000004,0.025334008
0.0,166.425,32992.13738846779,1420,0.50924003,-0.2067420028602231,211968,0.010723952,0.023488462,0.18254703283309937,5,-26.46077245,0.023488462
0.0,173.425,33147.733478069305,1426,0.65834534,-0.19611940426858981,212992,0.010521769,0.028067237,0.2684878706932068,6,-24.5974479,0.028067237
0.0,167.8,33306.69467377663,1432,0.58929026,-0.19257092705088608,214016,0.011049608,0.029343173,0.1254379153251648,6,-24.531450424999996,0.029343173
0.0,170.45,33465.21469664574,1439,0.5492838,-0.1952321323786367,215040,0.009729806,0.022078648,0.5164083242416382,7,-24.036346525,0.022078648
0.0,150.075,33663.158098459244,1449,0.5344101,-0.21505195858842488,216064,0.011675953,0.0350706,0.2560601234436035,10,-23.0276955,0.0350706
0.0,147.75,33858.84569811821,1455,0.58602715,-0.22029158419072825,217088,0.009751383,0.032191165,0.3377363085746765,6,-22.766811775,0.032191165
0.0,149.55,34017.34277057648,1461,0.747364,-0.21992933070768922,218112,0.011791019,0.041467033,0.4663441777229309,6,-23.19944495,0.041467033
0.0,150.325,34174.67348194122,1466,0.5706661,-0.21980202415308284,219136,0.011093464,0.031786844,-0.10047566890716553,5,-24.250145550000003,0.031786844
0.0,161.85,34329.67464876175,1469,0.4743575,-0.21503135224293918,220160,0.010290929,0.032773044,0.15437376499176025,3,-24.8522358,0.032773044
0.0,173.275,34523.63463950157,1474,0.58615613,-0.20381696093864649,221184,0.011094242,0.038319405,-0.30027341842651367,5,-25.393225600000005,0.038319405
0.0,172.3,34680.59307050705,1479,0.48303768,-0.20393074458309038,222208,0.010331925,0.037445225,0.19938689470291138,5,-25.126283250000004,0.037445225
0.0,183.55,34882.34725022316,1485,0.53089476,-0.19342839263611772,223232,0.010147626,0.07984966,0.2877892851829529,6,-25.250719600000004,0.07984966
0.0,190.075,35040.05465722084,1492,0.4921595,-0.17687062869788925,224256,0.011752399,0.038264576,0.5885094404220581,7,-25.357536075000002,0.038264576
0.0,190.35,35196.81648302078,1497,0.3868452,-0.17247646541779665,225280,0.010310567,0.022994049,0.572861909866333,5,-24.89233465,0.022994049
0.0,187.4,35352.46296977997,1504,0.70896596,-0.1868797505283019,226304,0.010037556,0.03247801,0.2509004473686218,7,-25.947767399999996,0.03247801
0.0,176.3,35510.64769625664,1511,0.8241203,-0.1926386174995239,227328,0.009397199,0.035113692,0.24575001001358032,7,-24.220006775,0.035113692
0.0,159.3,35668.89491701126,1516,0.604658,-0.20113423808036046,228352,0.009955007,0.029141886,0.23406696319580078,5,-23.226542624999997,0.029141886
0.0,168.8,35826.83695268631,1523,0.68261206,-0.1959918850927323,229376,0.010295889,0.027763702,0.4655478000640869,7,-24.670547525,0.027763702
0.0,161.65,35982.741168022156,1529,0.69375616,-0.2046994670988292,230400,0.010054226,0.025681298,0.23313742876052856,6,-23.551092750000002,0.025681298
0.0,165.675,36176.00224852562,1535,0.6193224,-0.20671071958095305,231424,0.0102924295,0.0270808,-0.07789146900177002,6,-23.925504150000002,0.0270808
0.0,161.725,36330.645307302475,1541,0.5557381,-0.2118855011703979,232448,0.009320859,0.036591865,-0.44095003604888916,6,-22.959447025000003,0.036591865
0.0,164.375,36486.6630628109,1547,0.6541875,-0.20713591407434778,233472,0.010646171,0.033860136,0.19583016633987427,6,-23.6365501,0.033860136
0.0,172.8,36642.83578968048,1553,0.65164346,-0.20806257112641552,234496,0.010103813,0.025344089,0.20406723022460938,6,-24.142643025,0.025344089
0.0,157.9,36798.56371283531,1560,0.6250055,-0.2277934645779811,235520,0.010663308,0.039866135,0.199662446975708,7,-23.55535595,0.039866135
0.0,159.725,36954.21433520317,1568,0.6664161,-0.21351076946960287,236544,0.009730833,0.027416345,0.22315406799316406,8,-24.17819075,0.027416345
0.0,155.55,37109.55430674553,1575,0.67919946,-0.2135364843068457,237568,0.010068423,0.031697277,0.08680152893066406,7,-24.68006285,0.031697277
0.0,143.425,37267.54349684715,1582,0.5216924,-0.22605329270574823,238592,0.009621431,0.029232807,0.1418132781982422,7,-24.3179424,0.029232807
0.0,145.85,37424.22225809097,1588,0.5904497,-0.22005697523892104,239616,0.0112083135,0.029053448,0.18377113342285156,6,-23.812321425,0.029053448
0.0,144.725,37579.37835144997,1594,0.54449683,-0.21660514310775608,240640,0.01216313,0.0324307,-0.02844548225402832,6,-23.216058600000004,0.0324307
0.0,158.4,37734.916219472885,1598,0.5498813,-0.2056833586192342,241664,0.011899573,0.029881861,0.39663708209991455,4,-24.794196124999996,0.029881861
0.0,153.325,37891.42376637459,1608,0.7199207,-0.22428678677884065,242688,0.009962838,0.025599524,0.23543810844421387,10,-24.55583355,0.025599524
0.0,150.475,38049.75870680809,1616,0.60052854,-0.22765876894527137,243712,0.008853906,0.027522353,0.13979893922805786,8,-22.99499775,0.027522353
0.0,148.05,38205.29754638672,1623,0.58482045,-0.22130059725565446,244736,0.011954766,0.031823985,0.30321407318115234,7,-22.569856174999998,0.031823985
0.0,144.725,38359.627318143845,1629,0.51930946,-0.23230458396467787,245760,0.0145798065,0.057953548,0.3317367434501648,6,-22.434627125,0.057953548
0.0,140.775,38551.603858947754,1635,0.5987757,-0.23857735472266778,246784,0.011773718,0.04032989,-0.31981849670410156,6,-21.8224293,0.04032989
0.0,136.875,38709.76545405388,1641,0.3996487,-0.24759081893265358,247808,0.010241609,0.027516149,0.21038419008255005,6,-22.165569950000002,0.027516149
0.0,155.9,38864.28104352951,1646,0.49594766,-0.22660958935854084,248832,0.010707312,0.03304307,-0.27317357063293457,5,-23.190396075000002,0.03304307
0.0,160.875,39019.910754442215,1651,0.6855517,-0.22548436857734985,249856,0.010336386,0.026802763,0.40813446044921875,5,-23.366468474999998,0.026802763
0.0,179.725,39175.2267742157,1656,0.5171992,-0.21049558427015946,250880,0.010467068,0.033555698,0.2799142599105835,5,-25.742517325,0.033555698
0.0,189.475,39333.42608952522,1660,0.6280045,-0.20390649895748986,251904,0.0114196325,0.030250918,0.009983181953430176,4,-27.155599800000005,0.030250918
0.0,190.025,39489.23471856117,1667,0.68329763,-0.19721448843607595,252928,0.01037016,0.027600117,0.48700225353240967,7,-27.660941399999995,0.027600117
0.0,199.025,39644.235667705536,1670,0.6922628,-0.19172343809019,253952,0.010486667,0.026365295,0.5194709300994873,3,-28.6681645,0.026365295
0.0,213.45,39799.25480341911,1674,0.50163347,-0.1807574872364768,254976,0.01172275,0.02824914,0.37345755100250244,4,-30.183716049999997,0.02824914
0.0,209.7,39957.949337244034,1680,0.51880306,-0.18216588930377764,256000,0.0108585,0.02680651,-0.06766355037689209,6,-29.086236375,0.02680651
0.0,212.125,40113.21078634262,1684,0.4870058,-0.17540579248998903,257024,0.011624752,0.034636945,-0.22131478786468506,4,-28.903212025000006,0.034636945
0.0,210.8,40268.137962818146,1690,0.6292417,-0.17474577475158,258048,0.010540222,0.022070518,0.2620324492454529,6,-28.932791575,0.022070518
0.0,199.6,40424.355247974396,1696,0.5174557,-0.17759454373329686,259072,0.010197982,0.030537523,0.4281821846961975,6,-27.714068974999996,0.030537523
0.0,198.225,40579.97506737709,1701,0.39710537,-0.1686873636645815,260096,0.009071798,0.023038719,0.5179264843463898,5,-25.471890600000002,0.023038719
0.0,203.025,40739.220136642456,1705,0.65133077,-0.1698183095147789,261120,0.011005459,0.016703023,-0.23044216632843018,4,-26.536551600000003,0.016703023
0.0,215.8,40893.443256139755,1709,0.6153937,-0.1597072090676943,262144,0.010985994,0.04882058,0.5604751408100128,4,-27.017426475,0.04882058
0.0,204.25,41081.90825867653,1714,0.64661443,-0.1682861215890758,263168,0.012109224,0.0353143,0.16980022192001343,5,-25.807214124999994,0.0353143
0.0,202.1,41243.63948559761,1720,0.5573795,-0.17015646335050164,264192,0.012432652,0.04592482,0.06777507066726685,6,-25.1742853,0.04592482
0.0,185.175,41401.68896865845,1728,0.5255463,-0.1787389599073197,265216,0.009607041,0.020151526,0.35947585105895996,8,-24.354371200000003,0.020151526
0.0,190.95,41556.68071746826,1733,0.5550195,-0.17705948416266812,266240,0.008676676,0.025285756,0.20040905475616455,5,-25.693305124999995,0.025285756
0.0,185.55,41718.58017325401,1739,0.4450804,-0.1891437875927658,267264,0.012218649,0.033953115,0.5378345549106598,6,-26.674801525,0.033953115
0.0,189.85,41916.84710741043,1744,0.57316977,-0.19262626920513654,268288,0.013984248,0.034100704,0.0918394923210144,5,-26.853791275,0.034100704
0.0,175.4,42073.21934342384,1749,0.6782088,-0.19748235533012087,269312,0.010662241,0.028314598,0.23907673358917236,5,-25.89706245,0.028314598
0.0,174.2,42266.910472393036,1756,0.43141353,-0.1931581189117961,270336,0.010826569,0.019388692,0.017542481422424316,7,-25.401400775000003,0.019388692
0.0,173.1,42422.192492723465,1762,0.5358586,-0.1981065447757946,271360,0.009186764,0.02709888,0.061879634857177734,6,-26.507907274999997,0.02709888
0.0,180.65,42577.15889644623,1767,0.6051521,-0.19944107318557505,272384,0.010466244,0.030893866,0.6283059418201447,5,-27.759460424999997,0.030893866
0.0,181.975,42737.75795674324,1773,0.45440364,-0.19385373033528008,273408,0.011211861,0.023056023,0.16228610277175903,6,-27.624073775,0.023056023
0.0,179.275,42894.627636671066,1778,0.49994913,-0.19582074873858552,274432,0.008756195,0.030531932,0.6178798079490662,5,-27.7634364,0.030531932
0.0,180.275,43050.36234164238,1784,0.50085473,-0.1994020228145484,275456,0.010754764,0.039012738,-0.013800382614135742,6,-28.950846375000005,0.039012738
0.0,187.925,43205.41816997528,1788,0.40927276,-0.19601652178607815,276480,0.01486579,0.04957789,-0.2533092498779297,4,-29.195970975,0.04957789
0.0,190.4,43362.1524951458,1793,0.35488695,-0.19954044995609999,277504,0.0115131615,0.022000633,0.1397533416748047,5,-30.130463399999996,0.022000633
0.0,185.65,43517.61882400513,1801,0.60607326,-0.19894076807352748,278528,0.010634859,0.03599121,0.13085180521011353,8,-29.113617074999997,0.03599121
0.0,192.6,43674.73133301735,1805,0.5210439,-0.19378226513585836,279552,0.009587397,0.025360897,0.6059289872646332,4,-29.3084922,0.025360897
0.0,191.25,43829.89614057541,1810,0.50154716,-0.19804134362046066,280576,0.010482304,0.024514321,0.3780389428138733,5,-28.61143745,0.024514321
0.0,199.7,43987.583037376404,1814,0.5080806,-0.19585580762809846,281600,0.008133759,0.019183137,0.07967454195022583,4,-29.8217221,0.019183137
0.0,197.625,44141.00780367851,1819,0.5603947,-0.19741390385001106,282624,0.01048984,0.028378546,-0.30038511753082275,5,-29.140570025,0.028378546
0.0,180.8,44343.294432878494,1828,0.57437146,-0.2171878727891438,283648,0.01109639,0.033001613,0.32590270042419434,9,-26.423038,0.033001613
0.0,175.925,44500.91569972038,1834,0.58681613,-0.22537261143842563,284672,0.011563175,0.043420903,0.496204674243927,6,-26.848553974999998,0.043420903
0.0,181.675,44656.771473646164,1841,0.57041115,-0.22084567113896264,285696,0.0116450945,0.031708825,0.4647884964942932,7,-27.26908055,0.031708825
0.0,168.0,44812.25932240486,1847,0.61241806,-0.23020967355024374,286720,0.009578006,0.029623747,0.16870516538619995,6,-26.851374425,0.029623747
0.0,160.225,44969.664969444275,1853,0.55356693,-0.225108192149236,287744,0.008303902,0.03318867,0.48219162225723267,6,-24.186358675,0.03318867
0.0,148.725,45125.09686970711,1860,0.63636494,-0.22587723718331398,288768,0.010765563,0.02933839,0.20330274105072021,7,-23.343388075,0.02933839
0.0,159.375,45279.78968811035,1863,0.48052725,-0.21275847416440313,289792,0.009970217,0.02657618,0.28618061542510986,3,-24.207301275,0.02657618
0.0,152.5,45436.82395076752,1874,0.5525669,-0.20794094645823705,290816,0.011761778,0.038904935,-0.055701375007629395,11,-23.047302725,0.038904935
0.0,134.75,45593.29275369644,1885,0.55068177,-0.22714864863318565,291840,0.011765087,0.04067591,0.41531676054000854,11,-20.719748900000003,0.04067591
0.0,126.975,45750.82825446129,1892,0.62185675,-0.24520992575370926,292864,0.009822817,0.034417115,0.31335973739624023,7,-20.215797875,0.034417115
0.0,129.375,45906.95447945595,1899,0.65273094,-0.24848320140888838,293888,0.009663079,0.033814557,0.5030806660652161,7,-20.61712215,0.033814557
0.0,135.3,46101.6329035759,1902,0.49774212,-0.24511319317872965,294912,0.012849667,0.0248036,-2.554490804672241,3,-21.094381024999997,0.0248036
0.0,142.525,46256.836357831955,1907,0.56620246,-0.2434171096183831,295936,0.011395686,0.03114029,0.47562849521636963,5,-21.277711675,0.03114029
0.0,161.725,46413.98341488838,1911,0.5633457,-0.22447629617610315,296960,0.0038801047,0.018688045,0.24231219291687012,4,-22.228788425,0.018688045
0.0,164.4,46572.53063893318,1920,0.6440145,-0.22967623054716596,297984,0.009824498,0.033048823,-0.12513136863708496,9,-23.62213145,0.033048823
0.0,172.0,46730.400253772736,1926,0.6052085,-0.219294305222619,299008,0.010093333,0.022097707,0.19688338041305542,6,-24.779780674999998,0.022097707
0.0,175.425,46887.18432760239,1934,0.51273614,-0.2159827731079603,300032,0.011343194,0.02845044,0.5474049746990204,8,-25.0190759,0.02845044
0.0,182.925,47046.4450981617,1938,0.528993,-0.21179014389831102,301056,0.010381584,0.03699646,0.2324507236480713,4,-26.479547625,0.03699646
0.0,181.225,47199.88998055458,1942,0.52670527,-0.21643778953193174,302080,0.01163744,0.037976917,0.6196150183677673,4,-27.461873625,0.037976917
