EpisodesSoFar,TimeElapsed,entloss,EpRewMean,surrgain,EpThisIter,explained_variance_tdlam_before,entropy,optimgain,EpLenMean,EpRew/step,TimestepsSoFar,meankl
812,19013.56559062004,0.0,-75.6447995,0.055221718,6,-0.0007047653198242188,3.5730262,0.055221718,175.25,-0.4650452611668876,122880,0.009549078
818,19168.91792035103,0.0,-70.69937585,0.03811269,6,-0.012738227844238281,3.5911844,0.03811269,168.1,-0.44740803283824954,123904,0.009655695
825,19324.084310770035,0.0,-87.50910775,0.06586255,7,-0.0005311965942382812,3.5902007,0.06586255,172.25,-0.5058815366086948,124928,0.0077238157
832,19480.56316590309,0.0,-85.59976585,0.03189111,7,0.013091802597045898,3.6006756,0.03189111,165.325,-0.5060454499084005,125952,0.010769527
836,19634.320759773254,0.0,-85.22787107499998,0.036535606,4,-0.16554152965545654,3.610491,0.036535606,168.6,-0.5010338548233656,126976,0.010252831
842,19788.825484275818,0.0,-87.481885075,0.03359308,6,0.04708367586135864,3.6077056,0.03359308,166.075,-0.5099573506242665,128000,0.010117751
848,19945.582441568375,0.0,-89.220875025,0.029213311,6,0.066070556640625,3.6026685,0.029213311,175.3,-0.5007702277032321,129024,0.011280322
856,20102.617574691772,0.0,-67.68577867500001,0.03173123,8,-0.6975885629653931,3.6072505,0.03173123,160.1,-0.404374845249685,130048,0.010194668
862,20260.742033720016,0.0,-54.15832077499999,0.023982234,6,0.0973595380783081,3.5895176,0.023982234,162.85,-0.35617204993885,131072,0.009759233
867,20417.346533060074,0.0,-54.9800767,0.024000801,5,0.03793221712112427,3.6295798,0.024000801,169.75,-0.3484742890980044,132096,0.008613246
874,20575.224239587784,0.0,-54.0961221,0.037426937,7,0.069918692111969,3.6504705,0.037426937,163.85,-0.34866781792451984,133120,0.010141442
880,20730.69331097603,0.0,-53.7760538,0.024343565,6,0.45229196548461914,3.6453307,0.024343565,162.65,-0.34906314784268677,134144,0.011086844
885,20888.767864227295,0.0,-54.87687244999999,0.045616068,5,0.21035391092300415,3.6324925,0.045616068,165.825,-0.3693022332430264,135168,0.010235756
891,21044.843522310257,0.0,-57.064956525,0.027725603,6,0.8183588087558746,3.5854547,0.027725603,173.8,-0.36297054202959933,136192,0.01172186
898,21200.27620768547,0.0,-53.239041475,0.03693807,7,-0.24279749393463135,3.6083353,0.03693807,165.5,-0.359812991797284,137216,0.009002654
903,21359.090108394623,0.0,-59.617601549999996,0.008779917,5,0.08895605802536011,3.5779727,0.008779917,174.975,-0.36607800382786476,138240,0.010686406
909,21516.661284446716,0.0,-58.596137524999996,0.026060453,6,-6.626522541046143,3.591785,0.026060453,172.05,-0.3639551449265169,139264,0.010717177
915,21716.848730564117,0.0,-59.721776850000005,0.033885457,6,0.1651078462600708,3.6231847,0.033885457,175.875,-0.3652220025461636,140288,0.009597269
921,21874.67421746254,0.0,-60.9251496,0.03718062,6,0.1257222294807434,3.6944716,0.03718062,175.975,-0.37199319454235724,141312,0.009293737
926,22032.853529930115,0.0,-62.69736672500001,0.032650754,5,0.04651594161987305,3.6948645,0.032650754,176.475,-0.36310907611619675,142336,0.0085583795
932,22188.45372056961,0.0,-61.094145775,0.029201586,6,-1.6032629013061523,3.696598,0.029201586,172.975,-0.36521909376542705,143360,0.010647521
938,22343.865308523178,0.0,-63.5409228,0.023077305,6,-0.9628669023513794,3.680916,0.023077305,180.975,-0.36044558811166194,144384,0.010127312
944,22499.629972219467,0.0,-56.98266345,0.030597119,6,-0.023311138153076172,3.6932886,0.030597119,175.7,-0.34356783158579346,145408,0.010102019
951,22655.255550146103,0.0,-53.294085474999996,0.03113919,7,-0.13234853744506836,3.708267,0.03113919,167.55,-0.3457733414795433,146432,0.009604686
955,22814.229843378067,0.0,-55.78602175000001,0.030142631,4,-0.0021036863327026367,3.7375913,0.030142631,177.45,-0.34380999422676384,147456,0.009323223
961,22970.055929660797,0.0,-54.042215675,0.026414692,6,0.5622595846652985,3.7270262,0.026414692,173.075,-0.34226863736520174,148480,0.008666768
971,23126.071460962296,0.0,-44.888941375,0.058032338,10,-0.2716175317764282,3.7286496,0.058032338,154.525,-0.33389731914648324,149504,0.009806209
976,23281.910596609116,0.0,-45.622706325,0.029858321,5,-0.042784810066223145,3.7305067,0.029858321,155.65,-0.3383035630979475,150528,0.010487294
981,23435.99802994728,0.0,-48.303492625,0.04608534,5,0.012629866600036621,3.7439501,0.04608534,166.3,-0.332605432087657,151552,0.009754961
986,23596.257130146027,0.0,-49.754424099999994,0.029674586,5,0.044924914836883545,3.745937,0.029674586,170.325,-0.332601734587542,152576,0.009982862
992,23751.262288093567,0.0,-50.098591675,0.03017719,6,-0.08148002624511719,3.7871056,0.03017719,170.35,-0.3322361737244929,153600,0.009694497
998,23909.267886161804,0.0,-49.050912525,0.031711645,6,-0.017136812210083008,3.8229103,0.031711645,170.075,-0.32799567532018614,154624,0.0096078
1002,24065.368911504745,0.0,-51.05502679999999,0.038434695,4,-0.09677994251251221,3.841701,0.038434695,176.2,-0.3289569827119424,155648,0.00931553
1008,24223.574486017227,0.0,-74.8295611,0.031387884,6,0.009715795516967773,3.832909,0.031387884,186.8,-0.8272079263878226,156672,0.0091039855
1016,24380.139434099197,0.0,-74.48536184999999,0.030822784,8,-0.3887985944747925,3.8599925,0.030822784,182.15,-0.8324863324613607,157696,0.009904817
1022,24535.170758008957,0.0,-92.78633052500001,0.024701456,6,0.10434097051620483,3.8877597,0.024701456,175.875,-1.0296496621137314,158720,0.010215423
1030,24691.671444177628,0.0,-89.73076455,0.03873092,8,-0.27220237255096436,3.928783,0.03873092,164.525,-1.034208449373746,159744,0.009546716
1037,24851.38511967659,0.0,-146.860559075,0.014866548,7,0.005260288715362549,3.9346292,0.014866548,163.2,-1.2684469446874673,160768,0.0076076817
1041,25008.768016815186,0.0,-146.02260439999998,0.050655015,4,-0.2645033597946167,3.943764,0.050655015,155.625,-1.2760969872223447,161792,0.008973929
1046,25163.575342416763,0.0,-141.50296495,0.035816602,5,-0.09713077545166016,3.9800916,0.035816602,156.9,-1.256727341011199,162816,0.009848112
1049,25316.613900899887,0.0,-127.19909785,0.027215645,3,-0.020843982696533203,4.042106,0.027215645,170.0,-0.7586022303739304,163840,0.008925844
