total timesteps,episodes,current_lr,n_updates,eplenmean,fps,time_elapsed,mean 100 episode reward,ep_rewmean,value_loss,qf2_loss,ent_coef_loss,entropy,ent_coef,qf1_loss,policy_loss
5552,131,0.0003,5452,40.13,42,131,-667.7,-667.67950008,4.249097,1689.9583,-1.677397,2.0374703,0.22070177,1688.8596,118.13171
5579,132,0.0003,5479,40.12,42,132,-667.4,-667.36869927,17.993526,1678.1357,-1.8524542,2.0152,0.21941552,1680.305,123.31879
5608,133,0.0003,5508,40.16,42,133,-667.4,-667.3776373,8.928595,1677.39,-3.5481234,2.2579427,0.21793316,1687.8124,126.43454
5678,134,0.0003,5578,40.49,42,134,-667.6,-667.6244611999999,2.7476783,6847.3594,-3.0512247,2.0488844,0.21346265,6849.358,125.04495
5707,135,0.0003,5607,40.43,42,135,-667.6,-667.5523609,3.5763218,15.691423,-3.0674994,2.032345,0.21180904,13.57757,124.14519
5733,136,0.0003,5633,40.46,42,136,-667.4,-667.41060166,5.589906,7005.882,-2.9705296,2.0385752,0.21042642,6953.0024,125.45437
5762,137,0.0003,5662,40.38,42,136,-667.5,-667.53720495,2.7454667,20.535131,-2.9506607,2.0486922,0.20878595,21.80843,123.46772
5804,138,0.0003,5704,40.53,42,137,-668.6,-668.5828563099999,5.2084074,1647.6571,-3.8053777,2.0693517,0.20627993,1645.617,127.29177
5827,139,0.0003,5727,40.32,42,138,-668.6,-668.58319248,5.3412833,1644.3577,-3.5820274,2.1063218,0.20480224,1647.5145,129.56354
5898,140,0.0003,5798,40.49,42,139,-668.3,-668.3324896700001,4.3505616,1852.6942,-3.5062265,2.1472366,0.20085336,1749.4663,129.6113
5936,141,0.0003,5836,40.43,42,140,-667.4,-667.4444572900002,4.2764583,4860.2725,-3.4528608,2.0370212,0.19849803,4857.5146,124.99936
6075,142,0.0003,5975,41.44,42,144,-668.0,-667.9834540200001,3.8453102,3211.7842,-3.6624775,2.1359787,0.1895939,3196.297,132.32866
6091,143,0.0003,5991,41.11,42,144,-667.8,-667.8071799700001,3.4978347,27.90326,-3.6648316,2.0521717,0.18876462,28.758965,130.91147
6166,144,0.0003,6066,41.66,42,146,-668.6,-668.57229616,3.2655556,1585.7867,-3.926318,2.1552095,0.18478738,1585.7948,128.20573
6207,145,0.0003,6107,41.78,42,147,-668.8,-668.7503010899999,2.1720047,3157.872,-3.5532513,2.0192423,0.18265192,3157.7444,132.40805
6259,146,0.0003,6159,42.12,42,148,-669.0,-668.9663974800001,2.028987,3353.397,-3.9513602,2.0024755,0.17979121,3358.1108,137.7051
6283,147,0.0003,6183,42.02,42,149,-669.2,-669.1809079300001,3.0701551,1571.098,-3.6442084,2.012394,0.17859142,1568.9706,135.31871
6320,148,0.0003,6220,42.03,42,149,-668.2,-668.1553046199999,8.602642,66.15236,-4.021761,2.1294577,0.1765682,60.12327,136.88193
6367,149,0.0003,6267,42.17,42,151,-668.4,-668.36095774,5.061821,3338.2886,-4.3372107,1.9544463,0.174003,3341.868,138.88202
6417,150,0.0003,6317,42.12,42,152,-669.3,-669.27768883,5.742511,4673.191,-4.126453,2.0721624,0.1714169,4665.494,138.11414
6507,151,0.0003,6407,42.67,42,154,-670.5,-670.5101414,5.2589917,1545.5059,-1.9795656,1.7206347,0.1673296,1540.209,136.15225
6535,152,0.0003,6435,41.52,42,154,-667.9,-667.86497445,6.4422817,3266.723,-2.457129,1.9151764,0.16626859,3266.1296,140.68227
6557,153,0.0003,6457,41.4,42,155,-667.8,-667.7756147499999,7.3053966,3069.7961,-3.565709,1.8642173,0.16541581,3067.4028,139.67398
6600,154,0.0003,6500,41.32,42,156,-667.4,-667.44020632,5.2615757,3268.3154,-3.5139391,1.9875014,0.1635453,3245.81,144.89908
6643,155,0.0003,6543,41.23,42,157,-666.6,-666.5765068400001,13.052944,1536.5845,-3.4571114,1.9933245,0.16169381,1532.8478,141.02176
6705,156,0.0003,6605,41.44,42,158,-666.3,-666.3404918100001,9.211196,1521.5459,-3.445345,1.6801231,0.15909164,1516.9387,141.13416
6759,157,0.0003,6659,41.68,42,160,-667.0,-667.01100369,7.312579,3040.1426,-3.365882,1.8192794,0.15684207,3020.3555,140.83575
6793,158,0.0003,6693,41.57,42,161,-666.9,-666.8541144300001,2.9782588,15.666389,-3.7856216,1.7645233,0.15547901,12.804798,141.1109
6820,159,0.0003,6720,41.6,42,161,-666.6,-666.59408463,6.6361637,6157.2734,-3.5348294,1.857945,0.15433347,6126.704,146.35701
6835,160,0.0003,6735,41.36,42,162,-666.3,-666.3113312500001,7.7641125,1558.804,-3.4153585,1.7919025,0.15367162,1543.4222,144.31131
6879,161,0.0003,6779,41.45,42,163,-666.4,-666.3741467299999,7.985735,2990.996,-2.3480601,1.6151876,0.15189892,2984.3125,141.63345
6899,162,0.0003,6799,41.3,42,163,-666.9,-666.8716890200001,5.479409,56.719578,-2.7080953,1.8881638,0.15124571,58.630116,149.29788
6926,163,0.0003,6826,41.39,42,164,-667.5,-667.45170222,4.2671614,14.946796,-3.843638,1.8577127,0.15032922,13.725476,145.20813
6961,164,0.0003,6861,41.44,42,165,-667.8,-667.7721381299999,3.8999996,3140.4934,-2.4240558,1.9255632,0.14898862,3080.2373,144.84789
7004,165,0.0003,6904,41.31,42,166,-667.7,-667.7354492700001,20.06728,1461.5106,-2.2542481,1.5437126,0.14813443,1463.3132,145.63892
7039,166,0.0003,6939,41.31,42,167,-667.7,-667.74801776,3.7931662,63.398514,-3.5969481,1.9047136,0.1470926,68.94821,151.9754
7106,167,0.0003,7006,41.07,42,168,-667.0,-667.0382657100001,7.1784387,2886.1465,-2.659092,1.6712431,0.1449,2882.329,149.14005
7122,168,0.0003,7022,40.7,42,169,-667.3,-667.33234658,3.3306615,2875.8684,-0.63506514,1.4071984,0.1445061,2867.4016,150.08911
7157,169,0.0003,7057,40.45,42,169,-667.0,-667.0390873399999,2.9847598,1442.7731,-2.7464356,1.6943792,0.14378402,1438.101,145.90448
7191,170,0.0003,7091,40.33,42,170,-666.8,-666.79619379,6.473026,43.569023,-0.45545772,1.4470837,0.14283204,44.796318,150.07947
7211,171,0.0003,7111,39.99,42,171,-666.5,-666.5007519199999,6.2086086,2847.506,-0.5157939,1.5111755,0.14243278,2840.1936,147.41602
7244,172,0.0003,7144,39.86,42,172,-665.8,-665.7662865100001,10.465126,2867.1934,-1.7846768,1.5813149,0.14193708,2854.1465,151.4972
7269,173,0.0003,7169,39.92,42,172,-665.5,-665.5068411500001,5.2820244,2826.7017,-1.1696769,1.6366441,0.14161292,2816.2783,153.3296
7294,174,0.0003,7194,39.55,42,173,-665.4,-665.4289253100001,2.8450732,1446.1566,-1.5170448,1.5950637,0.14140248,1444.0902,148.77936
