EpThisIter,entloss,entropy,EpisodesSoFar,surrgain,TimeElapsed,explained_variance_tdlam_before,EpLenMean,optimgain,meankl,EpRewMean,TimestepsSoFar,EpRew/step
9,0.0,0.6066796,1313,0.027378082,26362.956951618195,0.33133840560913086,153.0,0.027378082,0.009952273,-25.060023,188416,-0.1983832406026946
8,0.0,0.68445575,1321,0.02830561,26510.01935148239,0.4027103781700134,136.125,0.02830561,0.01012064,-23.78009135,189440,-0.21196492575354092
7,0.0,0.6078546,1328,0.03983682,26655.466386318207,0.502719908952713,135.725,0.03983682,0.012685722,-24.123332075,190464,-0.21167525426333517
7,0.0,0.6244699,1335,0.029731741,26799.678483724594,0.40292543172836304,138.0,0.029731741,0.0105828345,-24.2121844,191488,-0.21573694175012142
3,0.0,0.63034093,1338,0.029062584,26941.814474582672,0.4397614002227783,153.525,0.029062584,0.011020423,-25.50504335,192512,-0.20560059894222746
5,0.0,0.5888139,1343,0.036969677,27087.5390291214,0.5164297223091125,156.925,0.036969677,0.014131352,-25.003432699999998,193536,-0.20045153410768685
5,0.0,0.6045846,1348,0.03748765,27231.961120843887,0.5141687989234924,166.725,0.03748765,0.01172174,-25.95764005,194560,-0.19788372396133921
9,0.0,0.6886326,1357,0.037648644,27377.85892868042,0.2605857849121094,167.95,0.037648644,0.009956977,-25.553087474999998,195584,-0.1984853943897802
8,0.0,0.57611716,1365,0.026634473,27522.41975092888,0.34013086557388306,162.675,0.026634473,0.010751623,-24.460602575000003,196608,-0.20218385880067496
4,0.0,0.4860383,1369,0.029415488,27665.356988430023,0.33297014236450195,173.025,0.029415488,0.011357198,-26.367249225000002,197632,-0.19923933068422878
4,0.0,0.56482196,1373,0.02870379,27809.727371931076,0.45548057556152344,185.2,0.02870379,0.010722188,-26.700700375000004,198656,-0.18487194116814093
9,0.0,0.60457987,1382,0.03929341,27953.80016875267,0.263876736164093,159.525,0.03929341,0.012940073,-24.860896000000004,199680,-0.20809351217825917
7,0.0,0.5710197,1389,0.030162344,28097.187841176987,0.3099016547203064,142.775,0.030162344,0.012214002,-23.353344,200704,-0.21788039827909583
7,0.0,0.6172726,1396,0.03706261,28240.594026327133,0.49070608615875244,155.45,0.03706261,0.010313554,-23.345527575,201728,-0.20066040268286028
3,0.0,0.6007966,1399,0.037506286,28384.772267580032,0.34710341691970825,173.525,0.037506286,0.011886082,-26.455937700000003,202752,-0.19433251153831055
6,0.0,0.65677536,1405,0.03442815,28529.88131260872,-0.0865774154663086,180.775,0.03442815,0.010137134,-27.486042500000003,203776,-0.19050595064181572
10,0.0,0.61661875,1415,0.036868505,28675.67556142807,0.15547358989715576,151.325,0.036868505,0.010346407,-26.405548475,204800,-0.2202010455428755
6,0.0,0.57283604,1421,0.02537486,28819.300870895386,-0.08520662784576416,153.9,0.02537486,0.011137483,-26.00179515,205824,-0.21678682752839498
8,0.0,0.58841765,1429,0.028925039,28963.148413658142,0.024586975574493408,158.4,0.028925039,0.009510657,-26.544494250000003,206848,-0.20882231934425438
9,0.0,0.5661962,1438,0.0295268,29107.877365350723,0.15581107139587402,136.525,0.0295268,0.009130016,-24.16921975,207872,-0.22277693978227625
5,0.0,0.6598306,1443,0.030557692,29257.031662464142,0.12448519468307495,136.525,0.030557692,0.011787477,-24.225737325,208896,-0.2253275534396833
5,0.0,0.5299744,1448,0.028790783,29402.326457977295,0.16075384616851807,145.625,0.028790783,0.013118489,-24.444816250000002,209920,-0.2152590138343517
5,0.0,0.6112993,1453,0.031795636,29545.527606248856,0.40745121240615845,155.375,0.031795636,0.010698335,-23.889367625,210944,-0.20170726480930515
6,0.0,0.5799064,1459,0.02422631,29688.85858654976,0.33191484212875366,159.1,0.02422631,0.00974908,-25.012596975,211968,-0.19571511317232915
